f[Hz]	H_max[T]	H_min[T]	F[%]	U_HB[-]	dPCB[kPa]	Tspan [K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]
1	1	0.05	90	0.1988	21.4397	20.0000	43.8433	61.8129	2.2437	83.2749	3.1542	0.4944
1	1	0.05	90	0.3977	46.5944	20.0000	75.2790	113.9295	9.7520	83.2749	5.4158	0.7647
1	1	0.05	90	0.5965	75.4642	20.0000	81.2621	146.3511	23.6910	83.2749	5.8462	0.7203
1	1	0.05	90	0.7953	108.0492	20.0000	43.7979	142.6246	45.2265	83.2749	3.1509	0.3327
1	1	0.05	90	0.9942	144.3493	20.0000	-66.1251	75.2242	75.5248	83.2749	-4.7572	-0.4293
1	1	0.05	100	0.1988	19.0245	20.0000	43.4475	65.1911	1.8257	91.9600	3.1257	0.4483
1	1	0.05	100	0.3977	41.0582	20.0000	75.9673	117.9009	7.8801	91.9600	5.4653	0.7214
1	1	0.05	100	0.5965	66.1012	20.0000	85.5109	152.6146	19.0288	91.9600	6.1519	0.7300
1	1	0.05	100	0.7953	94.1535	20.0000	55.1167	153.7292	36.1378	91.9600	3.9652	0.4174
1	1	0.05	100	0.9942	125.2151	20.0000	-43.0387	94.7089	60.0731	91.9600	-3.0963	-0.2890
1	1	0.1	90	0.1988	21.4397	20.0000	42.4801	59.6068	2.2437	83.2749	3.0561	0.4796
1	1	0.1	90	0.3977	46.5944	20.0000	71.8436	109.0405	9.7520	83.2749	5.1686	0.7316
1	1	0.1	90	0.5965	75.4642	20.0000	74.7818	137.7631	23.6910	83.2749	5.3800	0.6656
1	1	0.1	90	0.7953	108.0492	20.0000	33.2871	129.3014	45.2265	83.2749	2.3948	0.2543
1	1	0.1	90	0.9942	144.3493	20.0000	-81.3088	56.4658	75.5248	83.2749	-5.8496	-0.5316
1	1	0.1	100	0.1988	19.0245	20.0000	42.1158	63.0132	1.8257	91.9600	3.0299	0.4350
1	1	0.1	100	0.3977	41.0582	20.0000	72.6497	113.1193	7.8801	91.9600	5.2266	0.6915
1	1	0.1	100	0.5965	66.1012	20.0000	79.2800	144.2575	19.0288	91.9600	5.7036	0.6794
1	1	0.1	100	0.7953	94.1535	20.0000	44.9838	140.7584	36.1378	91.9600	3.2362	0.3425
1	1	0.1	100	0.9942	125.2151	20.0000	-57.7908	76.3486	60.0731	91.9600	-4.1576	-0.3908
1	1.1	0.05	90	0.1988	21.4397	20.0000	63.5202	84.1531	2.2437	83.2749	4.5698	0.7051
1	1.1	0.05	90	0.3977	46.5944	20.0000	115.6334	159.0174	9.7520	83.2749	8.3190	1.1410
1	1.1	0.05	90	0.5965	75.4642	20.0000	143.1157	214.9500	23.6910	83.2749	10.2961	1.2205
1	1.1	0.05	90	0.7953	108.0492	20.0000	127.6439	235.1637	45.2265	83.2749	9.1830	0.9271
1	1.1	0.05	90	0.9942	144.3493	20.0000	39.9040	191.8275	75.5248	83.2749	2.8708	0.2468
1	1.1	0.05	100	0.1988	19.0245	20.0000	62.8366	87.2849	1.8257	91.9600	4.5206	0.6392
1	1.1	0.05	100	0.3977	41.0582	20.0000	115.7491	162.5060	7.8801	91.9600	8.3273	1.0701
1	1.1	0.05	100	0.5965	66.1012	20.0000	146.5467	220.5488	19.0288	91.9600	10.5429	1.2058
1	1.1	0.05	100	0.7953	94.1535	20.0000	137.9694	245.4957	36.1378	91.9600	9.9259	0.9996
1	1.1	0.05	100	0.9942	125.2151	20.0000	61.9035	210.5249	60.0731	91.9600	4.4535	0.3956
1	1.1	0.1	90	0.1988	21.4397	20.0000	62.1265	81.8796	2.2437	83.2749	4.4695	0.6904
1	1.1	0.1	90	0.3977	46.5944	20.0000	112.1571	154.0223	9.7520	83.2749	8.0689	1.1094
1	1.1	0.1	90	0.5965	75.4642	20.0000	136.5688	206.1996	23.6910	83.2749	9.8251	1.1693
1	1.1	0.1	90	0.7953	108.0492	20.0000	117.0006	221.5763	45.2265	83.2749	8.4173	0.8545
1	1.1	0.1	90	0.9942	144.3493	20.0000	24.4763	172.6524	75.5248	83.2749	1.7609	0.1524
1	1.1	0.1	100	0.1988	19.0245	20.0000	61.4739	85.0400	1.8257	91.9600	4.4226	0.6260
1	1.1	0.1	100	0.3977	41.0582	20.0000	112.3901	157.6208	7.8801	91.9600	8.0856	1.0414
1	1.1	0.1	100	0.5965	66.1012	20.0000	140.2515	212.0311	19.0288	91.9600	10.0900	1.1583
1	1.1	0.1	100	0.7953	94.1535	20.0000	127.7118	232.2667	36.1378	91.9600	9.1879	0.9303
1	1.1	0.1	100	0.9942	125.2151	20.0000	46.9171	191.7487	60.0731	91.9600	3.3753	0.3019
1	1.2	0.05	90	0.1988	21.4397	20.0000	82.6984	105.9496	2.2437	83.2749	5.9495	0.9041
1	1.2	0.05	90	0.3977	46.5944	20.0000	154.7472	202.7216	9.7520	83.2749	11.1329	1.4857
1	1.2	0.05	90	0.5965	75.4642	20.0000	202.7502	281.1025	23.6910	83.2749	14.5863	1.6680
1	1.2	0.05	90	0.7953	108.0492	20.0000	208.0899	324.0025	45.2265	83.2749	14.9705	1.4504
1	1.2	0.05	90	0.9942	144.3493	20.0000	141.2262	303.3581	75.5248	83.2749	10.1602	0.8359
1	1.2	0.05	100	0.1988	19.0245	20.0000	81.7421	108.8483	1.8257	91.9600	5.8807	0.8202
1	1.2	0.05	100	0.3977	41.0582	20.0000	154.3340	205.7688	7.8801	91.9600	11.1032	1.3911
1	1.2	0.05	100	0.5965	66.1012	20.0000	205.4408	286.1024	19.0288	91.9600	14.7799	1.6335
1	1.2	0.05	100	0.7953	94.1535	20.0000	217.5323	333.6585	36.1378	91.9600	15.6498	1.5133
1	1.2	0.05	100	0.9942	125.2151	20.0000	162.2638	321.3687	60.0731	91.9600	11.6737	0.9912
1	1.2	0.1	90	0.1988	21.4397	20.0000	81.2757	103.6145	2.2437	83.2749	5.8472	0.8896
1	1.2	0.1	90	0.3977	46.5944	20.0000	151.2300	197.6285	9.7520	83.2749	10.8799	1.4554
1	1.2	0.1	90	0.5965	75.4642	20.0000	196.1381	272.1988	23.6910	83.2749	14.1107	1.6200
1	1.2	0.1	90	0.7953	108.0492	20.0000	197.3304	310.1789	45.2265	83.2749	14.1964	1.3829
1	1.2	0.1	90	0.9942	144.3493	20.0000	125.5895	283.8159	75.5248	83.2749	9.0352	0.7483
1	1.2	0.1	100	0.1988	19.0245	20.0000	80.3497	106.5411	1.8257	91.9600	5.7806	0.8070
1	1.2	0.1	100	0.3977	41.0582	20.0000	150.9334	200.7840	7.8801	91.9600	10.8585	1.3635
1	1.2	0.1	100	0.5965	66.1012	20.0000	199.0824	277.4348	19.0288	91.9600	14.3225	1.5887
1	1.2	0.1	100	0.7953	94.1535	20.0000	207.1630	320.1974	36.1378	91.9600	14.9038	1.4487
1	1.2	0.1	100	0.9942	125.2151	20.0000	147.0808	302.2381	60.0731	91.9600	10.5814	0.9045
1	1.3	0.05	90	0.1988	21.4397	20.0000	100.9973	126.8697	2.2437	83.2749	7.2660	1.0885
1	1.3	0.05	90	0.3977	46.5944	20.0000	191.9971	244.4980	9.7520	83.2749	13.8127	1.7971
1	1.3	0.05	90	0.5965	75.4642	20.0000	259.4671	344.2085	23.6910	83.2749	18.6667	2.0653
1	1.3	0.05	90	0.7953	108.0492	20.0000	284.5417	408.6550	45.2265	83.2749	20.4706	1.9100
1	1.3	0.05	90	0.9942	144.3493	20.0000	237.4461	409.5239	75.5248	83.2749	17.0825	1.3500
1	1.3	0.05	100	0.1988	19.0245	20.0000	99.7853	129.5497	1.8257	91.9600	7.1788	0.9883
1	1.3	0.05	100	0.3977	41.0582	20.0000	191.0917	247.1356	7.8801	91.9600	13.7476	1.6823
1	1.3	0.05	100	0.5965	66.1012	20.0000	261.4691	348.6536	19.0288	91.9600	18.8107	2.0144
1	1.3	0.05	100	0.7953	94.1535	20.0000	293.1602	417.6796	36.1378	91.9600	21.0907	1.9650
1	1.3	0.05	100	0.9942	125.2151	20.0000	257.5886	426.8974	60.0731	91.9600	18.5316	1.5102
1	1.3	0.1	90	0.1988	21.4397	20.0000	99.5495	124.4784	2.2437	83.2749	7.1618	1.0741
1	1.3	0.1	90	0.3977	46.5944	20.0000	188.4475	239.3189	9.7520	83.2749	13.5574	1.7681
1	1.3	0.1	90	0.5965	75.4642	20.0000	252.8076	335.1768	23.6910	83.2749	18.1876	2.0200
1	1.3	0.1	90	0.7953	108.0492	20.0000	273.6916	394.6295	45.2265	83.2749	19.6900	1.8469
1	1.3	0.1	90	0.9942	144.3493	20.0000	221.6482	389.6739	75.5248	83.2749	15.9459	1.2684
1	1.3	0.1	100	0.1988	19.0245	20.0000	98.3669	127.1863	1.8257	91.9600	7.0768	0.9753
1	1.3	0.1	100	0.3977	41.0582	20.0000	187.6572	242.0610	7.8801	91.9600	13.5005	1.6557
1	1.3	0.1	100	0.5965	66.1012	20.0000	255.0639	339.8567	19.0288	91.9600	18.3499	1.9721
1	1.3	0.1	100	0.7953	94.1535	20.0000	282.7056	404.0177	36.1378	91.9600	20.3385	1.9046
1	1.3	0.1	100	0.9942	125.2151	20.0000	242.2526	407.4682	60.0731	91.9600	17.4282	1.4295
1	1.4	0.05	90	0.1988	21.4397	20.0000	118.5046	147.0288	2.2437	83.2749	8.5255	1.2601
1	1.4	0.05	90	0.3977	46.5944	20.0000	227.5878	284.6039	9.7520	83.2749	16.3732	2.0803
1	1.4	0.05	90	0.5965	75.4642	20.0000	313.6184	404.6947	23.6910	83.2749	22.5625	2.4212
1	1.4	0.05	90	0.7953	108.0492	20.0000	357.5200	489.7343	45.2265	83.2749	25.7209	2.3182
1	1.4	0.05	90	0.9942	144.3493	20.0000	329.2998	511.1732	75.5248	83.2749	23.6906	1.8045
1	1.4	0.05	100	0.1988	19.0245	20.0000	117.0514	149.5039	1.8257	91.9600	8.4210	1.1452
1	1.4	0.05	100	0.3977	41.0582	20.0000	226.2204	286.8570	7.8801	91.9600	16.2749	1.9482
1	1.4	0.05	100	0.5965	66.1012	20.0000	314.9708	408.6174	19.0288	91.9600	22.6598	2.3567
1	1.4	0.05	100	0.7953	94.1535	20.0000	365.3592	498.1647	36.1378	91.9600	26.2848	2.3666
1	1.4	0.05	100	0.9942	125.2151	20.0000	348.5942	527.9487	60.0731	91.9600	25.0787	1.9682
1	1.4	0.1	90	0.1988	21.4397	20.0000	117.0360	144.5886	2.2437	83.2749	8.4199	1.2459
1	1.4	0.1	90	0.3977	46.5944	20.0000	224.0156	279.3511	9.7520	83.2749	16.1162	2.0525
1	1.4	0.1	90	0.5965	75.4642	20.0000	306.9285	395.5546	23.6910	83.2749	22.0812	2.3784
1	1.4	0.1	90	0.7953	108.0492	20.0000	346.6089	475.5434	45.2265	83.2749	24.9359	2.2590
1	1.4	0.1	90	0.9942	144.3493	20.0000	313.3727	491.0561	75.5248	83.2749	22.5448	1.7281
1	1.4	0.1	100	0.1988	19.0245	20.0000	115.6115	147.0884	1.8257	91.9600	8.3174	1.1323
1	1.4	0.1	100	0.3977	41.0582	20.0000	222.7612	281.7052	7.8801	91.9600	16.0260	1.9226
1	1.4	0.1	100	0.5965	66.1012	20.0000	308.5354	399.7127	19.0288	91.9600	22.1968	2.3166
1	1.4	0.1	100	0.7953	94.1535	20.0000	354.8465	484.3399	36.1378	91.9600	25.5285	2.3098
1	1.4	0.1	100	0.9942	125.2151	20.0000	333.1342	508.2566	60.0731	91.9600	23.9665	1.8928
2	1	0.05	90	0.1988	46.6076	20.0000	81.4472	122.6887	9.7572	83.2749	5.8595	0.8236
2	1	0.05	90	0.3977	108.0744	20.0000	113.7984	212.2446	45.2454	83.2749	8.1869	0.8324
2	1	0.05	90	0.5965	184.4011	20.0000	59.5042	246.4555	115.7916	83.2749	4.2809	0.2926
2	1	0.05	90	0.7953	275.5880	20.0000	-125.6508	190.7331	230.7241	83.2749	-9.0396	-0.4120
2	1	0.05	90	0.9942	381.6354	20.0000	-505.2861	-8.9657	399.3716	83.2749	-36.3515	-1.1322
2	1	0.05	100	0.1988	41.0801	20.0000	80.6635	125.0978	7.8880	91.9600	5.8031	0.7635
