H_max[T],f[Hz],F_R[%],F_M_High[%],F_B[%],U_HB[-],dPCB[kPa],Tspan[K],dT_reg[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-],Q_wall-Loss[W]
1.2,1,5,45,60,0.1988,33.68866204,20,20.89090068,75.59171535,95.5712891,5.3339558,55.176,5.4382529,1.1462,338.8936146
1.2,1,5,45,60,0.3977,75.81455404,20,20.80048273,129.0818545,178.5629366,24.00924036,55.176,9.28646435,1.459,389.6886951
1.2,1,5,45,60,0.5965,126.3778425,20,20.62545193,137.1772203,223.5292055,60.03572787,55.176,9.86886477,1.0967,341.448577
1.2,1,5,45,60,0.7953,185.37863,20,20.36918792,74.74661414,209.4656968,117.4231215,55.176,5.37745425,0.42,228.3915367
1.2,1,5,45,70,0.1988,28.32010001,20,20.91948359,75.84396185,101.0619022,3.84870337,64.372,5.45640013,1.0294,426.6902439
1.2,1,5,45,70,0.3977,62.83074925,20,20.83134041,133.3502426,186.5815731,17.07834678,64.372,9.59354264,1.4647,498.1869632
1.2,1,5,45,70,0.5965,103.5320462,20,20.67189979,150.9706763,237.0017576,42.21409644,64.372,10.86119973,1.2854,457.1353117
1.2,1,5,45,70,0.7953,150.4240559,20,20.43612466,104.3459499,231.6947945,81.78102053,64.372,7.50690287,0.6791,348.6673507
1.2,1,5,45,80,0.1988,24.39846294,20,20.94999089,75.51628289,107.2870402,2.88524935,73.82344444,5.43282611,0.9193,539.8290408
1.2,1,5,45,80,0.3977,53.49874446,20,20.85752401,135.7998443,194.5579509,12.65711497,73.82344444,9.76977297,1.4109,621.4758796
1.2,1,5,45,80,0.5965,87.30090521,20,20.70833698,160.7436888,249.2107458,30.98969785,73.82344444,11.56429416,1.3812,574.5843542
1.2,1,5,45,80,0.7953,125.8049878,20,20.4882068,126.6590226,251.339852,59.55704027,73.82344444,9.1121599,0.8889,460.7952157
1.2,1,5,45,90,0.1988,21.43965555,20,20.98160915,73.95786541,115.2741234,2.24250753,83.27488889,5.32070974,0.8142,760.655455
1.2,1,5,45,90,0.3977,46.59437996,20,20.88028921,135.7229756,204.0146654,9.7475524,83.27488889,9.76424285,1.3204,880.7568852
1.2,1,5,45,90,0.5965,75.46421315,20,20.73846708,166.0199539,262.2716387,23.68137296,83.27488889,11.94388158,1.3963,854.2384658
1.2,1,5,45,90,0.7953,108.0491844,20,20.53153575,141.6824744,271.1044571,45.21017064,83.27488889,10.19298377,1.0217,765.9193569
1.2,1,10,40,60,0.1988,33.68866204,20,20.88862828,75.68803063,95.03539566,5.3339558,55.176,5.44518206,1.1476,329.7283177
1.2,1,10,40,60,0.3977,75.81455404,20,20.7992405,129.2538014,177.9098411,24.00924036,55.176,9.29883463,1.4608,376.3915142
1.2,1,10,40,60,0.5965,126.3778425,20,20.62463092,137.4138193,222.8151262,60.03572787,55.176,9.88588628,1.0985,325.4780776
1.2,1,10,40,60,0.7953,185.37863,20,20.36858813,75.03156502,208.7153591,117.4231215,55.176,5.39795432,0.4215,210.3180849
1.2,1,10,40,70,0.1988,28.32010001,20,20.91689262,75.9596823,100.4443091,3.84870337,64.372,5.46472535,1.0309,413.8175316
1.2,1,10,40,70,0.3977,62.83074925,20,20.82990617,133.5560798,185.8194811,17.07834678,64.372,9.60835106,1.4667,479.693672
1.2,1,10,40,70,0.5965,103.5320462,20,20.67094517,151.2535149,236.1629859,42.21409644,64.372,10.88154784,1.2876,435.0630049
1.2,1,10,40,70,0.7953,150.4240559,20,20.4354139,104.6859097,230.80263,81.78102053,64.372,7.53136041,0.6812,323.808342
1.2,1,10,40,80,0.1988,24.39846294,20,20.94521386,75.58999976,106.2299872,2.88524935,73.82344444,5.43812948,0.9202,512.732705
1.2,1,10,40,80,0.3977,53.49874446,20,20.85447033,135.9171789,193.1422522,12.65711497,73.82344444,9.77821431,1.412,582.6192975
1.2,1,10,40,80,0.5965,87.30090521,20,20.70600689,160.8823408,247.5484713,30.98969785,73.82344444,11.57426912,1.3823,527.9332101
1.2,1,10,40,80,0.7953,125.8049878,20,20.48625382,126.7941653,249.4707008,59.55704027,73.82344444,9.12188239,0.8898,407.8958773
1.2,1,10,40,90,0.1988,21.43965555,20,20.94896409,71.40146911,111.1449205,2.24250753,83.27488889,5.13679634,0.7876,730.0896717
1.2,1,10,40,90,0.3977,46.59437996,20,20.84883098,130.3283151,196.4187885,9.7475524,83.27488889,9.37613778,1.2728,838.5356007
1.2,1,10,40,90,0.5965,75.46421315,20,20.70586867,157.2669272,250.8202668,23.68137296,83.27488889,11.31416743,1.3297,803.9905594
1.2,1,10,40,90,0.7953,108.0491844,20,20.49741756,129.1770093,255.446695,45.21017064,83.27488889,9.29331002,0.9376,708.1980911
