Hmax[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.3	1	0	50	60	0.1988	33.68866204	20	21.10626664	93.71201186	118.8208626	1.60137866	55.176	6.74187136	1.4753	345.5308903
1.3	1	0	50	60	0.3977	75.81455404	20	21.01340357	166.1991982	223.2336321	7.20717236	55.176	11.95677685	2.2357	400.8240477
1.3	1	0	50	60	0.5965	126.3778425	20	20.83826074	193.6252006	289.6949145	18.02003471	55.176	13.92987055	2.2224	356.3522466
1.3	1	0	50	60	0.7953	185.37863	20	20.58155548	150.5046071	296.8568142	35.24272743	55.176	10.82766958	1.4865	247.0849571
1.3	1	0	50	60	0.9942	252.8169804	20	20.228669	4.36312947	216.1425456	60.07805814	55.176	0.31389421	0.0378	89.68504451
1.3	1	0	50	70	0.1988	28.32010001	20	21.13481172	93.96853879	124.355538	1.34793378	64.372	6.76032653	1.2965	435.3922808
1.3	1	0	50	70	0.3977	62.83074925	20	21.04381954	170.4177048	231.2414963	5.98072117	64.372	12.26026653	2.0628	512.0941705
1.3	1	0	50	70	0.5965	103.5320462	20	20.88430825	207.3630993	303.1548935	14.78194541	64.372	14.91820858	2.2043	474.9349736
1.3	1	0	50	70	0.7953	150.4240559	20	20.64827044	180.0818841	319.1528616	28.63526263	64.372	12.95553123	1.6995	370.3065436
1.3	1	0	50	70	0.9942	203.5068215	20	20.31880379	56.76979039	250.6251151	48.42436281	64.372	4.08415758	0.4857	217.0378264
1.3	1	0	50	80	0.1988	24.39846294	20	21.16576353	93.64689314	130.6887244	1.15433144	73.82344444	6.73718656	1.146	551.8311461
1.3	1	0	50	80	0.3977	53.49874446	20	21.06980864	172.8148483	239.2650171	5.06201469	73.82344444	12.4327229	1.8924	639.7504702
1.3	1	0	50	80	0.5965	87.30090521	20	20.92049824	217.063789	315.403371	12.39015	73.82344444	15.61609993	2.1316	596.9044724
1.3	1	0	50	80	0.7953	125.8049878	20	20.70023131	202.3563279	338.8939115	23.80588757	73.82344444	14.5580092	1.8037	486.9448648
1.3	1	0	50	80	0.9942	169.0110217	20	20.38927417	97.40119674	281.2208718	39.97640268	73.82344444	7.00728034	0.8063	332.4306041
1.3	1	0	50	90	0.1988	21.43965555	20	21.20079197	92.18320794	139.379095	1.01589831	83.27488889	6.63188546	1.0139	792.6069683
1.3	1	0	50	90	0.3977	46.59437996	20	21.09445859	172.8609134	249.5906405	4.41550833	83.27488889	12.43603693	1.7264	926.5752619
1.3	1	0	50	90	0.5965	75.46421315	20	20.95214505	222.5471269	329.5147519	10.72674852	83.27488889	16.01058467	2.0229	908.4766622
1.3	1	0	50	90	0.7953	108.0491844	20	20.74505659	217.7342662	359.9464364	20.47757337	83.27488889	15.6643357	1.8233	827.7402101
1.3	1	0	50	90	0.9942	144.349315	20	20.45003188	127.4542846	312.4607079	34.19595654	83.27488889	9.16937299	1.0064	711.8436427
1.3	1	0	50	100	0.1988	19.02445271	20	21.25764158	81.86074918	160.9402272	0.91287081	91.96	5.88926253	0.8289	1765.337745
1.3	1	0	50	100	0.3977	41.05816915	20	21.11299674	162.153046	267.4036365	3.940043	91.96	11.66568676	1.5075	1778.423959
1.3	1	0	50	100	0.5965	66.10116666	20	20.97174932	215.273232	347.2569718	9.51441171	91.96	15.48728287	1.8405	1668.834468
1.3	1	0	50	100	0.7953	94.15347069	20	20.77556075	217.0864463	381.6490369	18.06892077	91.96	15.61772995	1.7278	1562.673588
1.3	1	0	50	100	0.9942	125.2151056	20	20.49412721	136.0029814	341.1860089	30.03654309	91.96	9.78438715	1.032	1478.865101
1.3	1	5	45	60	0.1988	33.68866204	20	21.09437312	94.08903373	116.1443183	1.60137866	55.176	6.76899523	1.4806	340.6761967
1.3	1	5	45	60	0.3977	75.81455404	20	21.00713395	166.8128845	220.1939607	7.20717236	55.176	12.00092694	2.2426	393.465147
1.3	1	5	45	60	0.5965	126.3778425	20	20.83425602	194.4801051	286.5136279	18.02003471	55.176	13.99137447	2.2306	347.5746763
1.3	1	5	45	60	0.7953	185.37863	20	20.57881824	151.5484178	293.6912403	35.24272743	55.176	10.90276387	1.4957	237.1159615
1.3	1	5	45	60	0.9942	252.8169804	20	20.22668534	5.53794888	213.0447714	60.07805814	55.176	0.39841359	0.0479	78.40194732
1.3	1	5	45	70	0.1988	28.32010001	20	21.12279791	94.34878053	121.6494665	1.34793378	64.372	6.78768205	1.3012	428.6345109
1.3	1	5	45	70	0.3977	62.83074925	20	21.03748791	171.0318325	228.1741913	5.98072117	64.372	12.30444838	2.0692	501.9665019
1.3	1	5	45	70	0.5965	103.5320462	20	20.88025234	208.2145334	299.9442829	14.78194541	64.372	14.97946283	2.2119	462.9936015
1.3	1	5	45	70	0.7953	150.4240559	20	20.64547895	181.1341108	315.9339	28.63526263	64.372	13.03123099	1.7082	356.8543513
1.3	1	5	45	70	0.9942	203.5068215	20	20.31677429	57.9606056	247.4641458	48.42436281	64.372	4.16982774	0.4955	201.9677687
