H_max[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.4	1	5	45	60	0.1988	33.68866204	20	21.28940437	111.7769915	135.9053479	5.3339558	55.176	8.04151018	1.6306	342.6833661
1.4	1	5	45	60	0.3977	75.81455404	20	21.20487569	202.8505108	260.0956037	24.00924036	55.176	14.59356193	2.1631	397.6465009
1.4	1	5	45	60	0.5965	126.3778425	20	21.03397621	249.1976254	346.8484622	60.03572787	55.176	17.92788672	1.8717	354.1977136
1.4	1	5	45	60	0.7953	185.37863	20	20.7793384	224.9008117	374.3655042	117.4231215	55.176	16.17991451	1.1913	246.3397827
1.4	1	5	45	70	0.1988	28.32010001	20	21.31773721	112.045495	141.4343803	3.84870337	64.372	8.06082698	1.4688	430.9071874
1.4	1	5	45	70	0.3977	62.83074925	20	21.23480301	207.0258174	268.0568197	17.07834678	64.372	14.8939437	2.1488	506.3149976
1.4	1	5	45	70	0.5965	103.5320462	20	21.07956293	262.877491	360.2501054	42.21409644	64.372	18.91204971	2.0947	469.5529816
1.4	1	5	45	70	0.7953	150.4240559	20	20.84573745	254.4731641	396.6233496	81.78102053	64.372	18.30742187	1.5473	365.7706629
1.4	1	5	45	80	0.1988	24.39846294	20	21.34828049	111.7594929	147.7056796	2.88524935	73.82344444	8.04025128	1.3187	543.6104222
1.4	1	5	45	80	0.3977	53.49874446	20	21.26020203	209.4144311	275.9519326	12.65711497	73.82344444	15.06578641	2.0623	628.3064321
1.4	1	5	45	80	0.5965	87.30090521	20	21.11520592	272.5509661	372.3350065	30.98969785	73.82344444	19.60798317	2.1906	584.6089235
1.4	1	5	45	80	0.7953	125.8049878	20	20.89728822	276.753133	416.2023328	59.55704027	73.82344444	19.91029734	1.8054	474.4605437
1.4	1	5	45	90	0.1988	21.43965555	20	21.38046912	110.2229206	155.8089917	2.24250753	83.27488889	7.92970652	1.1795	767.5580116
1.4	1	5	45	90	0.3977	46.59437996	20	21.28241749	209.199573	285.3889583	9.7475524	83.27488889	15.05032899	1.9357	891.2636885
1.4	1	5	45	90	0.5965	75.46421315	20	21.1445058	277.5674919	385.2522556	23.68137296	83.27488889	19.96888431	2.1869	867.6298771
1.4	1	5	45	90	0.7953	108.0491844	20	20.93989381	291.4835145	435.7989332	45.21017064	83.27488889	20.97003702	1.9503	782.244919
1.4	1	10	40	60	0.1988	33.68866204	20	21.2863909	111.9132522	135.1859653	5.3339558	55.176	8.05131311	1.6323	333.5122894
1.4	1	10	40	60	0.3977	75.81455404	20	21.20335194	203.0844493	259.2711076	24.00924036	55.176	14.61039204	2.1652	384.6519403
1.4	1	10	40	60	0.5965	126.3778425	20	21.0330362	249.5119565	345.9868496	60.03572787	55.176	17.95050047	1.8737	338.8733978
1.4	1	10	40	60	0.7953	185.37863	20	20.77866629	225.2807521	373.4633016	117.4231215	55.176	16.20724835	1.1932	229.1055906
1.4	1	10	40	70	0.1988	28.32010001	20	21.31440157	112.2009045	140.6326637	3.84870337	64.372	8.07200752	1.4707	417.9693479
1.4	1	10	40	70	0.3977	62.83074925	20	21.23306282	207.2939722	267.113404	17.07834678	64.372	14.91323541	2.1512	488.1121505
1.4	1	10	40	70	0.5965	103.5320462	20	21.07847039	263.2414537	359.2493083	42.21409644	64.372	18.93823408	2.0971	448.1804784
1.4	1	10	40	70	0.7953	150.4240559	20	20.84496071	254.9074095	395.5848435	81.78102053	64.372	18.33866255	1.5497	341.8824398
1.4	1	10	40	80	0.1988	24.39846294	20	21.34251187	111.8587583	146.4236453	2.88524935	73.82344444	8.04739268	1.3198	515.5843007
1.4	1	10	40	80	0.3977	53.49874446	20	21.25668908	209.5703283	274.3043208	12.65711497	73.82344444	15.07700204	2.0636	588.5927677
1.4	1	10	40	80	0.5965	87.30090521	20	21.11259736	272.7368939	370.4406541	30.98969785	73.82344444	19.62135927	2.1918	537.3948643
1.4	1	10	40	80	0.7953	125.8049878	20	20.89514352	276.9353079	414.1074933	59.55704027	73.82344444	19.92340345	1.8064	421.1273272
1.4	1	10	40	90	0.1988	21.43965555	20	21.34210719	107.2360763	150.9501104	2.24250753	83.27488889	7.71482563	1.1502	736.8833592
1.4	1	10	40	90	0.3977	46.59437996	20	21.24583939	202.9443553	276.5484963	9.7475524	83.27488889	14.60031333	1.8857	849.2074957
1.4	1	10	40	90	0.5965	75.46421315	20	21.1068087	267.4662371	371.9921722	23.68137296	83.27488889	19.24217533	2.1194	817.9134735
1.4	1	10	40	90	0.7953	108.0491844	20	20.9005278	277.0891407	417.6958766	45.21017064	83.27488889	19.93447055	1.8669	725.0632221
1.4	1	15	35	60	0.1988	33.68866204	20	21.28465898	111.9998804	134.7641351	5.3339558	55.176	8.05754535	1.6334	323.4082475
1.4	1	15	35	60	0.3977	75.81455404	20	21.20243403	203.2430365	258.7566259	24.00924036	55.176	14.62180119	2.1666	370.3886643
