H[mm]	H_max[T]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wasco[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
10	1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.1886021	16.33643086	10.47060703	6.01610598	20.16	2.11377109	0.577465601	-565.9452071
10	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.43440966	33.07915491	28.76059465	6.01610598	20.16	4.28011247	1.086121541	-578.7733522
10	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.66966374	49.07764708	46.29105969	6.01610598	20.16	6.35015766	1.508862119	-591.6752713
12	1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.26397258	25.00448417	20.06673604	7.21932717	20.16	3.23533067	0.816748771	-603.6191206
12	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.50811786	44.94077589	41.88580571	7.21932717	20.16	5.81488782	1.353873737	-618.5676623
12	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.73955653	63.80636517	62.6028425	7.21932717	20.16	8.25590677	1.790541498	-633.7789977
14	1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.32608499	34.4575852	30.5291943	8.42254837	20.16	4.45846759	1.042873053	-641.1559671
14	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.56807984	57.49139487	55.78126856	8.42254837	20.16	7.43881264	1.596036165	-658.3239794
14	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.79589879	79.13480308	79.5957241	8.42254837	20.16	10.23925363	2.038411382	-675.7895125
16	1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.37850538	44.54199954	41.6911681	9.62576956	20.16	5.76329014	1.25297265	-678.7562349
16	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.61810379	70.58555649	70.2853227	9.62576956	20.16	9.13306646	1.813660523	-698.1871112
16	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.84259002	94.93725836	97.12581781	9.62576956	20.16	12.28393361	2.256665752	-717.8015045
18	1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.42348277	55.13810392	53.42042766	10.82899076	20.16	7.13432029	1.446309421	-716.5136991
18	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.66060711	84.1148909	85.27662433	10.82899076	20.16	10.88362729	2.008828079	-738.2000142
18	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.88209406	111.1212198	115.0924136	10.82899076	20.16	14.37797668	2.449386107	-759.8542093
20	1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.46254534	66.1512047	65.61074372	12.03221195	20.16	8.5593056	1.623281995	-754.4774367
20	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.69724604	97.99776	100.665804	12.03221195	20.16	12.67993198	2.183933091	-778.3718551
20	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.91605388	127.6197661	133.4161101	12.03221195	20.16	16.51272389	2.620263509	-801.9308938
22	1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.49682477	77.50857378	78.18388988	13.23543315	20.16	10.02883579	1.784913728	-792.6473168
22	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.72917249	112.1674453	116.3792713	13.23543315	20.16	14.51334782	2.34127112	-818.6728396
22	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.94561312	144.3754585	152.0388652	13.23543315	20.16	18.68074324	2.772389766	-844.0217003
