f[Hz]	Hmax[T]	MagPeriod [s]	FieldPeriod[s]	F[%]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1	1.2	5	45	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.10013976	75.90761281	67.52523694	3.046043856	20.16	9.82168742	2.298299334	-161.604071
1	1.2	5	45	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.05957176	104.4405499	102.8418327	7.122737142	20.16	13.51356468	2.560049446	-369.8621441
1	1.2	5	45	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	35.91154774	116.4558505	121.3306891	13.14110412	20.16	15.06822465	2.407638342	-690.4913806
1	1.2	5	45	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.69287134	107.7451601	118.1782338	21.28055888	20.16	13.94114825	1.945500882	-1215.729234
1	1.2	5	45	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.14943704	76.94920898	73.14402371	2.5816217	21.12	9.95645957	2.286203077	-171.9331776
1	1.2	5	45	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.11031879	107.8091971	109.7129326	6.006380394	21.12	13.949434	2.624639308	-391.5866035
1	1.2	5	45	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.97102297	123.3568059	130.2944773	11.02952762	21.12	15.9611394	2.564021943	-720.6806278
1	1.2	5	45	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.76029038	118.8779932	129.3605055	17.78287755	21.12	15.38162574	2.189906621	-1259.115006
1	1.2	5	45	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.20562176	77.72599267	78.93212154	2.223694232	22.08	10.05696763	2.262063315	-202.8842385
1	1.2	5	45	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.16250521	110.3424749	116.342597	5.153126984	22.08	14.27721487	2.658192392	-439.7792897
1	1.2	5	45	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.02717862	128.5946952	138.5082103	9.42744944	22.08	16.63886999	2.670914345	-784.4756035
1	1.2	5	45	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.82042256	127.373106	139.2762332	15.14653394	22.08	16.48080854	2.371614385	-1339.19994
1	1.2	5	45	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.24730504	78.4227099	84.57620326	1.952585739	23.04	10.14711588	2.231740917	-241.4884292
1	1.2	5	45	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.1962302	112.1187499	122.4796646	4.510729242	23.04	14.50704712	2.66582686	-480.6299957
1	1.2	5	45	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.06298615	132.3138005	145.8823739	8.227803582	23.04	17.12008509	2.734440458	-823.1658945
1	1.2	5	45	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.85955234	133.4096565	148.2419164	13.18208017	23.04	17.26187793	2.494386378	-1359.40642
1	1.2	10	40	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.10215188	76.28239395	67.40898757	3.046043856	20.16	9.87018036	2.306260638	-165.3510936
1	1.2	10	40	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.06028764	104.7627526	102.6556702	7.122737142	20.16	13.5552545	2.565325777	-374.29863
1	1.2	10	40	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	35.91150695	116.696878	121.075112	13.14110412	20.16	15.09941119	2.411066849	-696.4804265
1	1.2	10	40	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.69262296	107.9557717	117.8827004	21.28055888	20.16	13.96839929	1.948345091	-1223.059831
1	1.2	10	40	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.1516685	77.40668547	72.97296352	2.5816217	21.12	10.01565246	2.295757513	-182.46633
1	1.2	10	40	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.11106012	108.2182148	109.4437651	6.006380394	21.12	14.00235682	2.631206844	-404.195616
1	1.2	10	40	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.9708567	123.6895497	129.9126651	11.02952762	21.12	16.00419312	2.568639511	-736.8714563
1	1.2	10	40	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.75984574	119.1826971	128.9046999	17.78287755	21.12	15.42105139	2.193926313	-1278.411493
1	1.2	10	40	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.20872962	78.53723586	78.50297691	2.223694232	22.08	10.1619344	2.278711835	-243.6093653
1	1.2	10	40	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.16308767	111.1082436	115.6590575	5.153126984	22.08	14.37629769	2.670266279	-489.427355
1	1.2	10	40	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.02613715	129.2799206	137.5114209	9.42744944	22.08	16.72753132	2.680210889	-845.9722955
1	1.2	10	40	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.81879633	128.024714	138.0466864	15.14653394	22.08	16.56512011	2.380010733	-1411.051803
1	1.2	10	40	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.21443152	76.77746854	81.51803505	1.952585739	23.04	9.93423807	2.198237921	-283.2408024
1	1.2	10	40	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.15819236	108.9436152	117.5665805	4.510729242	23.04	14.09621638	2.615884876	-528.6459005
1	1.2	10	40	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.02127568	127.5868098	138.8435763	8.227803582	23.04	16.50845968	2.670506254	-887.3032774
