f[Hz],F_B[%],H_max[T],H_max_equiv[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
1,60,1.1,1,0.1988,33.68866204,20,46.14741321,50.02672207,5.33792888,55.176,3.31995779,0.7229
1,60,1.1,1,0.3977,75.81455404,20,66.20228186,93.33816002,24.02390787,55.176,4.76275409,0.7885
1,60,1.1,1,0.5965,126.3778425,20,41.80422731,102.6722542,60.06678238,55.176,3.00749837,0.3535
1,60,1.1,1,0.7953,185.37863,20,-47.27302222,60.71845333,117.4757581,55.176,-3.40093685,-0.2793
1,60,1.1,1,0.9942,252.8169804,20,-230.5188727,-58.98940937,200.2601938,55.176,-16.58409156,-0.9651
1,60,1.211,1.1,0.1988,33.68866204,20,65.67053441,70.9678118,5.33792888,55.176,4.72449888,1.0066
1,60,1.211,1.1,0.3977,75.81455404,20,105.4818764,135.5556075,24.02390787,55.176,7.5886242,1.2154
1,60,1.211,1.1,0.5965,126.3778425,20,100.5819161,165.8517199,60.06678238,55.176,7.23610907,0.8212
1,60,1.211,1.1,0.7953,185.37863,20,30.63599719,144.4065944,117.4757581,55.176,2.20402857,0.1752
1,60,1.211,1.1,0.9942,252.8169804,20,-133.7417669,44.79185563,200.2601938,55.176,-9.62170985,-0.5441
1,60,1.322,1.2,0.1988,33.68866204,20,83.93579632,90.47110556,5.33792888,55.176,6.0385465,1.2612
1,60,1.322,1.2,0.3977,75.81455404,20,142.0081436,174.7157105,24.02390787,55.176,10.21641321,1.5882
1,60,1.322,1.2,0.5965,126.3778425,20,154.9766749,224.2233234,60.06678238,55.176,11.14940107,1.2262
1,60,1.322,1.2,0.7953,185.37863,20,102.4909592,221.5003285,117.4757581,55.176,7.3734503,0.5693
1,60,1.322,1.2,0.9942,252.8169804,20,-44.64497748,140.260823,200.2601938,55.176,-3.21186888,-0.177
1,60,1.433,1.3,0.1988,33.68866204,20,100.7110751,108.4097536,5.33792888,55.176,7.24540109,1.4863
1,60,1.433,1.3,0.3977,75.81455404,20,175.4889751,210.6192795,24.02390787,55.176,12.62510612,1.9111
1,60,1.433,1.3,0.5965,126.3778425,20,204.809056,277.726736,60.06678238,55.176,14.73446446,1.5757
1,60,1.433,1.3,0.7953,185.37863,20,168.33223,292.1717558,117.4757581,55.176,12.11023237,0.9111
1,60,1.433,1.3,0.9942,252.8169804,20,37.00551172,227.769069,200.2601938,55.176,2.66226703,0.1434
1,60,1.544,1.4,0.1988,33.68866204,20,116.1941417,125.0411029,5.33792888,55.176,8.35929077,1.6871
1,60,1.544,1.4,0.3977,75.81455404,20,206.3762136,243.895732,24.02390787,55.176,14.84720961,2.1944
1,60,1.544,1.4,0.5965,126.3778425,20,250.8074369,327.2938287,60.06678238,55.176,18.0437005,1.8817
1,60,1.544,1.4,0.7953,185.37863,20,229.1482859,357.6534683,117.4757581,55.176,16.48548819,1.2115
1,60,1.544,1.4,0.9942,252.8169804,20,112.4269401,308.8408794,200.2601938,55.176,8.08826907,0.4266
1,75,1.1,1,0.1988,26.22494481,20,42.67575739,49.44370866,3.33028926,68.97,3.07019837,0.5662
1,75,1.1,1,0.3977,57.83968394,20,63.21877574,89.34691398,14.68936378,68.97,4.54811336,0.7167
1,75,1.1,1,0.5965,94.84429483,20,45.5731173,98.57545234,36.12975739,68.97,3.27864153,0.4205
1,75,1.1,1,0.7953,137.2388303,20,-28.45172964,60.95527184,69.70416576,68.97,-2.04688702,-0.2082
1,75,1.1,1,0.9942,185.0233261,20,-185.9695606,-48.68081719,117.4653627,68.97,-13.37910508,-1.0746
1,75,1.211,1.1,0.1988,26.22494481,20,60.95701609,68.86523946,3.33028926,68.97,4.38539684,0.7949
1,75,1.211,1.1,0.3977,57.83968394,20,99.75799885,128.3577423,14.68936378,68.97,7.17683445,1.0982
1,75,1.211,1.1,0.5965,94.84429483,20,99.97064056,156.7307804,36.12975739,68.97,7.19213241,0.8903
1,75,1.211,1.1,0.7953,137.2388303,20,43.38918493,137.7979814,69.70416576,68.97,3.1215241,0.306
1,75,1.211,1.1,0.9942,185.0233261,20,-96.85669309,46.56571336,117.4653627,68.97,-6.96810742,-0.5397
1,75,1.322,1.2,0.1988,26.22494481,20,77.43266437,86.35906033,3.33028926,68.97,5.57069528,0.9944
1,75,1.322,1.2,0.3977,57.83968394,20,132.6119673,163.4368527,14.68936378,68.97,9.5404293,1.4229
1,75,1.322,1.2,0.5965,94.84429483,20,148.83276,209.0174787,36.12975739,68.97,10.7073928,1.2852
1,75,1.322,1.2,0.7953,137.2388303,20,107.9241797,206.8251592,69.70416576,68.97,7.76432947,0.737
1,75,1.322,1.2,0.9942,185.0233261,20,-16.82689487,132.078591,117.4653627,68.97,-1.21056798,-0.0908
1,75,1.433,1.3,0.1988,26.22494481,20,92.29158213,102.1937918,3.33028926,68.97,6.63968217,1.1691
1,75,1.433,1.3,0.3977,57.83968394,20,162.2256112,195.1522175,14.68936378,68.97,11.67090728,1.7017
1,75,1.433,1.3,0.5965,94.84429483,20,192.8991915,256.2655628,36.12975739,68.97,13.87763967,1.6213
1,75,1.433,1.3,0.7953,137.2388303,20,166.1604196,269.2595749,69.70416576,68.97,11.95398702,1.1031
1,75,1.433,1.3,0.9942,185.0233261,20,55.41872025,209.4343733,117.4653627,68.97,3.98695829,0.291
1,75,1.544,1.4,0.1988,26.22494481,20,105.8913347,116.7704456,3.33028926,68.97,7.61808163,1.325
1,75,1.544,1.4,0.3977,57.83968394,20,189.320048,224.2958371,14.68936378,68.97,13.62014734,1.9461
1,75,1.544,1.4,0.5965,94.84429483,20,233.2402226,299.6676278,36.12975739,68.97,16.77987213,1.9137
1,75,1.544,1.4,0.7953,137.2388303,20,219.5135812,326.6462214,69.70416576,68.97,15.79234397,1.4211
1,75,1.544,1.4,0.9942,185.0233261,20,121.6177551,280.5277322,117.4653627,68.97,8.74947879,0.6231
1,90,1.1,1,0.1988,21.43965555,20,37.34884649,47.57833594,2.24370179,83.27488889,2.68696737,0.4234
1,90,1.1,1,0.3977,46.59437996,20,54.70088439,81.28127825,9.75204294,83.27488889,3.93531542,0.5641
1,90,1.1,1,0.5965,75.46421315,20,37.73449011,86.36996718,23.69097833,83.27488889,2.71471152,0.344
