f[Hz],H[mm],H_max[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
1,10,0.9,0.1988,19.02445271,20,5.18151703,13.57452113,0.91287081,91.96,0.37277101,0.0556
1,10,0.9,0.3977,41.05816915,20,3.12976412,19.60082625,3.940043,91.96,0.22516289,0.0326
1,10,0.9,0.5965,66.10116666,20,-11.951776,15.15154014,9.51441171,91.96,-0.85984,-0.1188
1,10,0.9,0.7953,94.15347069,20,-48.14535563,-7.1435444,18.06892077,91.96,-3.46369465,-0.4518
1,10,0.9,0.9942,125.2151056,20,-118.8515583,-60.02493902,30.03654309,91.96,-8.55047182,-1.0476
1,10,1,0.1988,19.02445271,20,11.5796577,21.56245434,0.91287081,91.96,0.8330689,0.1236
1,10,1,0.3977,41.05816915,20,17.44721307,36.69369003,3.940043,91.96,1.25519519,0.1796
1,10,1,0.5965,66.10116666,20,11.86754233,42.85969438,9.51441171,91.96,0.85378002,0.116
1,10,1,0.7953,94.15347069,20,-13.35259392,32.54887858,18.06892077,91.96,-0.96061827,-0.1224
1,10,1,0.9942,125.2151056,20,-72.0684381,-7.46844904,30.03654309,91.96,-5.18477972,-0.617
1,10,1.1,0.1988,19.02445271,20,20.70568481,32.04478773,0.91287081,91.96,1.48961761,0.2194
1,10,1.1,0.3977,41.05816915,20,36.35490032,58.04625727,3.940043,91.96,2.61546045,0.369
1,10,1.1,0.5965,66.10116666,20,41.21462785,75.70914264,9.51441171,91.96,2.96508114,0.3946
1,10,1.1,0.7953,94.15347069,20,27.00503849,77.4309484,18.06892077,91.96,1.94280852,0.2412
1,10,1.1,0.9942,125.2151056,20,-20.30829132,49.78596718,30.03654309,91.96,-1.46102815,-0.1685
1,10,1.2,0.1988,19.02445271,20,30.24922728,42.89156394,0.91287081,91.96,2.1762034,0.3182
1,10,1.2,0.3977,41.05816915,20,55.91872206,79.9486419,3.940043,91.96,4.02292964,0.5596
1,10,1.2,0.5965,66.10116666,20,71.21457764,109.0651171,9.51441171,91.96,5.12335091,0.6681
1,10,1.2,0.7953,94.15347069,20,67.71552739,122.489014,18.06892077,91.96,4.87162068,0.5893
1,10,1.2,0.9942,125.2151056,20,31.24107571,106.6455416,30.03654309,91.96,2.2475594,0.2514
1,10,1.3,0.1988,19.02445271,20,39.63154192,53.55656341,0.91287081,91.96,2.85119007,0.414
1,10,1.3,0.3977,41.05816915,20,75.03731782,101.3387889,3.940043,91.96,5.39836819,0.7408
